epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2965.06,0.89347,0.69005,0.95155,0.97703,0.7527,0.79598,0.65017,0.82131,0.71736,0.96709,0.0011882,0.0011882,0.0011882
43,3032.67,0.85805,0.64091,0.93629,0.95587,0.76681,0.79893,0.66311,0.80274,0.70811,0.98122,0.0011684,0.0011684,0.0011684
44,3100.19,0.86036,0.64021,0.94111,0.97162,0.75885,0.79314,0.65103,0.83781,0.748,0.97735,0.0011486,0.0011486,0.0011486
45,3167.66,0.86352,0.64378,0.9383,0.97011,0.76991,0.79621,0.65226,0.82675,0.74847,0.97981,0.0011288,0.0011288,0.0011288
46,3235.35,0.86714,0.67023,0.94824,0.97952,0.75885,0.79438,0.65457,0.81925,0.7318,0.96717,0.001109,0.001109,0.001109
47,3302.83,0.86239,0.65087,0.95604,0.95745,0.77212,0.79678,0.6582,0.783,0.68088,0.95573,0.0010892,0.0010892,0.0010892
48,3397.45,0.83128,0.61408,0.9312,0.97171,0.7599,0.79692,0.66426,0.79547,0.69813,0.96432,0.0010694,0.0010694,0.0010694
49,3464.3,0.84146,0.61624,0.9274,0.97196,0.75664,0.79802,0.66915,0.7809,0.67758,0.95788,0.0010496,0.0010496,0.0010496
50,3531.69,0.84557,0.62073,0.94246,0.97927,0.75664,0.79311,0.65345,0.83247,0.67496,0.95326,0.0010298,0.0010298,0.0010298
51,3599.34,0.84904,0.6269,0.93838,0.97714,0.75669,0.80371,0.66869,0.79043,0.69988,0.96528,0.00101,0.00101,0.00101
52,3666.54,0.82964,0.60986,0.93299,0.9771,0.75527,0.7914,0.66626,0.77782,0.7331,0.95321,0.0009902,0.0009902,0.0009902
53,3733.72,0.81626,0.60298,0.92779,0.97379,0.75885,0.79321,0.66338,0.78025,0.69848,0.95182,0.0009704,0.0009704,0.0009704
54,3801.2,0.81124,0.59626,0.92838,0.98197,0.76106,0.79207,0.65389,0.79955,0.71561,0.94837,0.0009506,0.0009506,0.0009506
55,3868.3,0.81733,0.60533,0.92954,0.96556,0.75664,0.79819,0.66818,0.77852,0.71419,0.96193,0.0009308,0.0009308,0.0009308
56,3935.51,0.82827,0.61244,0.93205,0.97891,0.75442,0.80367,0.66144,0.7981,0.70083,0.96016,0.000911,0.000911,0.000911
57,4002.76,0.82953,0.60486,0.93214,0.98854,0.75442,0.79846,0.66094,0.80173,0.71953,0.96149,0.0008912,0.0008912,0.0008912
58,4069.97,0.81868,0.60167,0.92409,0.97715,0.75677,0.79663,0.66523,0.78186,0.69826,0.97207,0.0008714,0.0008714,0.0008714
59,4137.14,0.79756,0.59607,0.91593,0.96871,0.75331,0.79763,0.66855,0.77727,0.68266,0.95575,0.0008516,0.0008516,0.0008516
60,4204.47,0.82136,0.59399,0.92364,0.96349,0.75902,0.79725,0.66305,0.7884,0.69528,0.9683,0.0008318,0.0008318,0.0008318
61,4271.52,0.8028,0.58834,0.92157,0.96159,0.7754,0.79985,0.67081,0.75268,0.68374,0.95247,0.000812,0.000812,0.000812
62,4338.89,0.78871,0.58955,0.92008,0.97422,0.75257,0.79741,0.66944,0.76546,0.6822,0.9505,0.0007922,0.0007922,0.0007922
63,4405.83,0.76293,0.56861,0.90968,0.98464,0.75885,0.8047,0.67246,0.7668,0.68386,0.95823,0.0007724,0.0007724,0.0007724
64,4473.1,0.7578,0.55694,0.90857,0.96918,0.7677,0.80124,0.67093,0.77377,0.68302,0.95321,0.0007526,0.0007526,0.0007526
65,4539.81,0.78218,0.55823,0.91246,0.98345,0.75664,0.79929,0.66734,0.77697,0.69444,0.95228,0.0007328,0.0007328,0.0007328
66,4607.29,0.77211,0.55652,0.92022,0.98235,0.76106,0.79601,0.67532,0.75019,0.6726,0.9403,0.000713,0.000713,0.000713
67,4674.48,0.78985,0.5777,0.91836,0.98841,0.75441,0.79772,0.67446,0.76062,0.6992,0.94971,0.0006932,0.0006932,0.0006932
68,4741.83,0.76824,0.55862,0.91579,0.97248,0.75885,0.79965,0.67209,0.77183,0.70407,0.95758,0.0006734,0.0006734,0.0006734
69,4809.17,0.76108,0.55016,0.90075,0.97187,0.75664,0.80042,0.67218,0.75722,0.65175,0.93888,0.0006536,0.0006536,0.0006536
70,4876.39,0.77409,0.54933,0.9107,0.97454,0.76216,0.80065,0.67419,0.7596,0.67216,0.95473,0.0006338,0.0006338,0.0006338
71,4943.67,0.76027,0.55877,0.91728,0.98354,0.75221,0.79782,0.67114,0.74571,0.66779,0.94793,0.000614,0.000614,0.000614
72,5010.54,0.77348,0.56719,0.91102,0.96998,0.76106,0.80079,0.67226,0.76665,0.67958,0.94604,0.0005942,0.0005942,0.0005942
73,5077.98,0.74852,0.54418,0.91539,0.96854,0.75885,0.79995,0.67103,0.76385,0.68412,0.95453,0.0005744,0.0005744,0.0005744
74,5144.89,0.7553,0.55963,0.91209,0.96368,0.76313,0.79884,0.67513,0.75031,0.67782,0.94614,0.0005546,0.0005546,0.0005546
75,5212,0.7484,0.54261,0.91379,0.97724,0.75985,0.80168,0.67428,0.73791,0.65749,0.93788,0.0005348,0.0005348,0.0005348
76,5279.79,0.74839,0.54264,0.90669,0.98473,0.75221,0.79684,0.67569,0.75105,0.65886,0.95443,0.000515,0.000515,0.000515
77,5347.9,0.75511,0.557,0.91226,0.96694,0.76106,0.80078,0.67759,0.74431,0.6568,0.94245,0.0004952,0.0004952,0.0004952
78,5414.98,0.73989,0.53341,0.90086,0.97733,0.75442,0.8006,0.67356,0.74787,0.67483,0.94653,0.0004754,0.0004754,0.0004754
79,5481.72,0.74977,0.53652,0.90657,0.97855,0.75664,0.80313,0.6822,0.73304,0.66567,0.95032,0.0004556,0.0004556,0.0004556
80,5627.03,0.71935,0.51754,0.90217,0.97919,0.75664,0.80069,0.68369,0.72057,0.62993,0.94248,0.0004358,0.0004358,0.0004358
81,5693.23,0.73617,0.53113,0.90488,0.97268,0.75885,0.80078,0.67414,0.74524,0.67007,0.95157,0.000416,0.000416,0.000416
82,5759.52,0.71934,0.51366,0.89672,0.9828,0.75863,0.80341,0.68014,0.72665,0.63869,0.93751,0.0003962,0.0003962,0.0003962
83,5826.76,0.7208,0.51951,0.90214,0.98514,0.76106,0.80133,0.68452,0.73266,0.64393,0.93723,0.0003764,0.0003764,0.0003764
84,5894.07,0.717,0.51806,0.90292,0.97788,0.76106,0.79877,0.67181,0.76002,0.65657,0.9444,0.0003566,0.0003566,0.0003566
85,5960.98,0.71011,0.50843,0.89747,0.98189,0.75442,0.79893,0.67819,0.7318,0.6474,0.9404,0.0003368,0.0003368,0.0003368
86,6028.71,0.7253,0.51327,0.89519,0.97985,0.75321,0.80042,0.6786,0.73011,0.64884,0.9407,0.000317,0.000317,0.000317
87,6095.81,0.71569,0.50277,0.89789,0.98895,0.75,0.79959,0.6864,0.72661,0.64458,0.94243,0.0002972,0.0002972,0.0002972
88,6163.06,0.70701,0.51393,0.90049,0.97996,0.75739,0.79737,0.67853,0.74128,0.64523,0.94238,0.0002774,0.0002774,0.0002774
89,6230.17,0.69603,0.50433,0.88983,0.98191,0.75664,0.80233,0.68046,0.72771,0.64055,0.93493,0.0002576,0.0002576,0.0002576
90,6297.19,0.69345,0.49703,0.88875,0.97603,0.76106,0.79933,0.68118,0.73736,0.65593,0.94355,0.0002378,0.0002378,0.0002378
91,6385.64,0.66057,0.48153,0.87679,0.98872,0.74558,0.79488,0.67629,0.73183,0.6456,0.93791,0.000218,0.000218,0.000218
92,6452.59,0.66914,0.48948,0.89062,0.98741,0.74779,0.79931,0.6818,0.72245,0.64868,0.93575,0.0001982,0.0001982,0.0001982
93,6519.52,0.65157,0.47323,0.87503,0.98839,0.75346,0.80146,0.6839,0.72377,0.63041,0.93302,0.0001784,0.0001784,0.0001784
94,6586.53,0.64341,0.46317,0.88151,0.97447,0.76016,0.80224,0.68407,0.72419,0.63858,0.93792,0.0001586,0.0001586,0.0001586
95,6653.29,0.64711,0.468,0.8755,0.98873,0.74779,0.79981,0.6836,0.72719,0.63405,0.93609,0.0001388,0.0001388,0.0001388
96,6720.11,0.63753,0.46579,0.8786,0.98791,0.75,0.80018,0.68377,0.71558,0.64086,0.93403,0.000119,0.000119,0.000119
97,6787.29,0.64025,0.4585,0.87655,0.98973,0.75221,0.80034,0.68643,0.71204,0.64585,0.9368,9.92e-05,9.92e-05,9.92e-05
98,6854.3,0.62485,0.44768,0.87541,0.98889,0.75221,0.80026,0.68545,0.72283,0.64334,0.9375,7.94e-05,7.94e-05,7.94e-05
99,6921.64,0.63534,0.4472,0.87325,0.9884,0.75385,0.801,0.68423,0.71422,0.62971,0.93107,5.96e-05,5.96e-05,5.96e-05
100,6988.9,0.63217,0.45047,0.87295,0.98835,0.75055,0.8011,0.6855,0.71362,0.635,0.93262,3.98e-05,3.98e-05,3.98e-05
